id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
15085,8674,10219,44,44,56,58,42,49,47,53,47,48,66,38,55,29,28,36,23.091,27.273,62,71,65,66,69,63,66,65,64,74,0
15086,9791,8611,39,32,40,42,66,47,43,47,35,38,44,50,41,34,44,54,23.455,22.182,66,71,65,66,70,62,77,68,71,76,2
15087,9803,10228,42,44,49,40,38,47,44,55,47,37,48,52,42,46,44,48,24.364,23.727,61,70,69,67,82,64,74,68,69,72,1
15088,10235,9908,44,44,48,62,50,43,43,40,47,52,52,54,60,45,49,47,23.636,23.727,63,78,69,73,68,61,73,71,68,70,0
15089,9761,10229,58,53,48,47,46,43,48,50,62,40,67,48,52,50,65,59,27.455,23.364,58,68,65,66,71,60,75,74,71,71,0
15090,8640,8593,54,45,55,58,55,43,50,48,35,33,39,52,46,68,65,50,22.818,23.455,58,78,69,72,80,56,79,71,74,74,0
15091,8277,6413,37,39,52,42,62,42,45,48,47,49,50,50,54,46,44,51,24.0,25.0,54,76,70,71,82,53,68,67,66,76,0
15093,10229,8640,62,40,67,48,52,50,65,59,54,45,55,58,55,43,50,48,23.455,22.818,62,75,74,70,71,58,79,69,73,80,0
15094,6413,9761,47,49,50,50,54,46,44,51,58,53,48,47,46,43,48,50,25.727,26.636,55,68,67,66,76,56,68,64,66,71,1
15095,9908,9803,47,52,52,54,60,45,49,47,42,44,49,40,38,47,44,55,24.636,24.636,58,72,70,69,69,60,70,70,67,82,1
15096,10219,9791,47,48,66,38,55,29,28,36,39,32,40,42,66,47,43,47,27.545,23.818,64,65,66,64,74,63,70,66,66,70,2
15097,10235,10217,44,44,48,62,50,43,43,40,38,47,55,55,44,50,58,52,23.455,23.818,65,78,71,73,68,61,71,67,66,75,0
15099,8464,8277,46,41,52,37,57,45,48,53,37,39,52,42,62,42,45,48,23.182,24.0,63,72,67,67,70,54,76,70,71,82,2
15100,8611,8674,35,38,44,50,41,34,44,54,44,44,56,58,42,49,47,53,22.273,23.273,62,77,68,71,76,63,71,68,67,69,0
15102,10217,10228,38,47,55,55,44,50,58,52,47,37,48,52,42,46,44,48,23.273,21.909,58,71,65,66,75,60,74,63,69,75,1
15104,9761,9791,58,53,48,47,46,43,48,50,39,32,40,42,66,47,43,47,26.636,23.818,56,68,64,66,71,63,70,66,66,70,0
15105,9803,6413,42,44,49,40,38,47,44,55,47,49,50,50,54,46,44,51,24.091,25.909,62,70,70,67,82,54,68,67,66,76,1
15106,8593,9908,35,33,39,52,46,68,65,50,47,52,52,54,60,45,49,47,22.545,24.455,59,78,68,72,67,58,72,68,68,75,0
15107,8674,10229,44,44,56,58,42,49,47,53,62,40,67,48,52,50,65,59,23.091,24.0,64,71,66,66,69,58,74,73,70,68,0
15108,8640,10219,54,45,55,58,55,43,50,48,47,48,66,38,55,29,28,36,21.909,27.545,56,80,65,73,80,63,66,65,65,74,0
15109,8277,10235,37,39,52,42,62,42,45,48,44,44,48,62,50,43,43,40,24.455,22.545,54,74,69,71,82,62,78,70,73,71,2
15110,6413,9908,57,39,57,50,54,58,60,63,50,52,55,49,52,45,49,47,25.091,24.636,50,71,66,67,76,60,71,67,68,80,0
15112,7788,8611,45,42,46,56,57,42,49,47,38,34,63,65,37,44,41,55,24.545,23.091,57,68,67,65,72,56,74,72,69,73,1
15114,9791,10229,46,32,48,58,59,60,62,47,52,46,60,56,52,50,61,55,24.636,23.636,65,70,65,66,82,61,74,75,70,73,2
15115,10217,10235,58,55,55,52,44,57,50,52,54,60,48,67,50,43,43,40,25.182,23.636,57,69,67,66,66,64,77,69,72,69,2
15116,6433,8674,55,42,37,42,53,43,47,51,48,38,57,59,45,49,47,53,23.727,25.273,57,69,61,64,75,62,71,69,68,85,2
15117,8593,8277,40,30,51,55,39,64,53,64,53,32,53,54,56,42,54,62,23.455,23.545,61,78,69,73,82,53,75,70,71,72,0
15120,8277,9761,53,32,53,54,56,42,54,62,46,54,32,42,42,43,39,50,24.636,24.364,60,74,71,70,72,57,69,69,65,68,1
15122,8593,6433,40,30,51,55,39,64,53,64,55,42,37,42,53,43,47,51,21.727,25.182,59,80,68,73,82,60,68,63,65,81,0
15123,7788,10235,45,42,46,56,57,42,49,47,54,60,48,67,50,43,43,40,24.273,24.545,58,68,62,65,73,69,76,73,72,80,2
15124,9908,8640,50,52,55,49,52,45,49,47,67,40,53,53,55,50,62,55,24.182,22.0,61,71,65,67,69,60,81,73,74,80,2
15125,10229,8674,52,46,60,56,52,50,61,55,48,38,57,59,45,49,47,53,23.545,24.182,59,72,71,68,68,62,72,68,68,85,1
15127,6413,10228,57,39,57,50,54,58,60,63,53,46,65,43,46,46,44,48,24.364,22.545,57,72,67,67,76,60,73,66,67,73,1
15128,6433,9791,55,42,37,42,53,43,47,51,46,32,48,58,59,60,62,47,24.636,24.182,59,69,63,65,81,61,70,62,65,82,2
15130,10235,6413,54,60,48,67,50,43,43,40,57,39,57,50,54,58,60,63,24.455,23.182,66,77,73,73,80,55,72,69,67,76,0
15131,8611,10228,38,34,63,65,37,44,41,55,53,46,65,43,46,46,44,48,23.364,22.545,59,76,68,71,77,60,73,66,67,73,0
15132,8640,10217,67,40,53,53,55,50,62,55,58,55,55,52,44,57,50,52,22.182,24.636,60,81,74,74,80,59,70,69,67,66,0
15133,9908,8277,50,52,55,49,52,45,49,47,53,32,53,54,56,42,54,62,24.182,24.545,57,72,64,67,69,60,73,68,69,76,0
15135,8674,9761,48,38,57,59,45,49,47,53,46,54,32,42,42,43,39,50,23.909,24.909,61,71,66,67,85,58,68,67,64,68,0
15139,10228,6433,53,46,65,43,46,46,44,48,55,42,37,42,53,43,47,51,22.818,24.636,60,73,68,67,73,55,68,62,64,81,1
15140,9761,10229,46,54,32,42,42,43,39,50,52,46,60,56,52,50,61,55,25.0,22.364,60,68,65,64,68,60,74,67,68,74,2
15141,7788,8593,45,42,46,56,57,42,49,47,40,30,51,55,39,64,53,64,24.273,23.0,57,68,61,65,73,58,79,72,74,84,2
15143,6413,8674,57,39,57,50,54,58,60,63,48,38,57,59,45,49,47,53,23.273,24.182,51,73,70,68,76,62,72,68,68,85,0
15144,8277,10235,53,32,53,54,56,42,54,62,54,60,48,67,50,43,43,40,24.364,24.091,62,73,70,70,76,70,76,73,72,80,1
15145,9791,8640,46,32,48,58,59,60,62,47,67,40,53,53,55,50,62,55,24.364,22.364,60,69,63,65,72,59,81,74,75,80,2
15147,10229,8277,52,46,60,56,52,50,61,55,53,32,53,54,56,42,54,62,22.545,24.545,60,75,67,68,74,60,73,71,70,76,0
15148,6433,9761,55,42,37,42,53,43,47,51,46,54,32,42,42,43,39,50,24.0,23.909,58,69,63,64,81,58,68,68,64,68,0
15150,8593,10228,40,30,51,55,39,64,53,64,53,46,65,43,46,46,44,48,23.0,22.818,58,79,72,74,84,60,73,68,67,73,0
15151,8674,8640,48,38,57,59,45,49,47,53,67,40,53,53,55,50,62,55,24.182,22.545,62,72,68,68,85,59,81,74,75,80,1
15152,6413,8611,57,39,57,50,54,58,60,63,38,34,63,65,37,44,41,55,23.455,23.727,49,73,70,67,76,61,76,68,72,77,2
15153,9791,10217,46,32,48,58,59,60,62,47,58,55,55,52,44,57,50,52,24.364,25.0,60,69,63,66,72,58,71,68,67,66,0
15154,9908,7788,50,52,55,49,52,45,49,47,45,42,46,56,57,42,49,47,24.455,25.273,57,72,66,69,69,51,68,62,65,73,2
15156,10228,9791,53,46,65,43,46,46,44,48,46,32,48,58,59,60,62,47,22.091,24.364,59,74,66,67,62,60,69,63,66,72,2
15157,9761,9908,46,54,32,42,42,43,39,50,50,52,55,49,52,45,49,47,24.909,24.727,60,68,66,64,68,55,72,66,68,69,2
15158,8277,6433,53,32,53,54,56,42,54,62,55,42,37,42,53,43,47,51,24.636,24.0,58,73,69,70,76,58,69,63,64,81,1
15159,7788,10229,45,42,46,56,57,42,49,47,52,46,60,56,52,50,61,55,24.182,22.545,56,69,65,65,73,60,75,67,68,74,2
15160,10217,8593,58,55,55,52,44,57,50,52,40,30,51,55,39,64,53,64,24.182,23.273,57,71,68,67,66,58,79,72,74,84,1
15162,8611,8674,38,34,63,65,37,44,41,55,48,38,57,59,45,49,47,53,23.727,24.182,61,76,68,72,77,62,72,68,68,85,2
15163,8640,10235,67,40,53,53,55,50,62,55,54,60,48,67,50,43,43,40,22.455,26.0,60,81,75,75,80,72,75,69,72,69,0
15164,10229,6433,52,46,60,56,52,50,61,55,55,42,37,42,53,43,47,51,21.727,23.0,59,75,66,68,74,58,69,62,64,81,0
15166,7788,9761,45,42,46,56,57,42,49,47,46,54,32,42,42,43,39,50,24.818,26.545,52,68,63,65,73,62,67,69,64,68,2
15169,6413,10217,57,39,57,50,54,58,60,63,58,55,55,52,44,57,50,52,23.364,24.636,51,74,70,68,75,57,71,68,67,66,0
15170,9908,9791,50,52,55,49,52,45,49,47,46,32,48,58,59,60,62,47,24.818,24.091,58,72,64,68,60,62,69,64,66,82,2
15171,8674,10228,48,38,57,59,45,49,47,53,53,46,65,43,46,46,44,48,24.8,22.545,63,72,68,68,69,61,74,67,67,62,1
