id,AVG_HOME_AGE,AVG_AWAY_AGE
850,25.727,24.364
851,25.455,24.727
852,27.636,26.818
853,26.909,25.545
854,23.091,26.182
855,26.909,25.545
856,25.455,24.545
857,25.364,24.909
858,25.727,26.636
859,25.273,26.545
860,25.364,
861,25.909,26.182
862,25.545,26.364
863,25.273,25.0
864,26.636,25.273
865,25.455,25.818
866,24.636,26.909
867,27.182,24.636
868,26.182,23.909
869,25.909,26.182
870,26.545,25.364
871,22.818,26.364
872,26.0,25.727
873,24.636,24.818
874,26.636,24.818
875,26.636,23.091
876,24.909,26.0
877,25.091,25.182
878,24.182,25.818
879,26.636,26.545
880,25.364,26.909
881,24.727,25.0
882,27.909,24.818
883,25.818,26.545
884,24.455,22.909
885,24.818,26.091
886,26.636,24.727
887,26.091,25.545
888,25.545,24.636
889,24.818,27.0
890,26.545,25.091
891,26.636,22.909
892,24.636,24.091
893,24.091,26.0
894,25.0,27.545
895,25.455,25.455
896,,25.909
897,25.0,27.182
898,26.0,25.545
899,25.364,24.455
900,24.727,25.909
901,25.364,25.273
902,26.727,25.727
903,25.091,26.455
904,25.909,23.818
905,24.636,23.909
906,25.909,24.182
907,26.727,
908,27.0,24.0
909,24.0,25.364
910,23.455,25.545
911,26.727,23.727
912,25.091,25.909
913,25.273,27.091
914,24.455,26.727
915,22.455,26.182
916,24.545,26.909
917,25.091,23.0
918,26.636,23.455
919,25.818,25.636
920,24.182,26.909
921,26.545,
922,25.455,24.182
923,26.545,26.727
924,27.091,25.455
925,24.545,25.455
926,25.364,24.818
927,25.909,27.182
928,26.818,26.091
929,25.455,27.818
930,24.364,27.909
931,26.0,23.636
932,24.818,26.182
933,23.545,25.636
934,24.636,
935,26.545,24.636
936,25.636,26.818
937,26.727,25.727
938,24.909,26.545
939,26.727,26.0
940,27.091,27.091
941,25.818,26.818
942,26.545,25.636
943,22.727,26.727
944,,26.545
945,24.727,23.909
946,25.182,26.091
947,26.364,24.273
948,27.182,26.727
949,24.909,24.818
950,25.182,26.727
951,24.455,24.091
952,25.818,26.727
953,26.727,26.727
954,26.091,
955,26.727,24.636
956,25.818,27.0
957,24.273,25.727
958,25.182,26.455
959,25.273,27.455
960,27.182,25.818
961,26.364,24.273
962,24.909,24.455
963,27.0,
964,25.182,24.545
965,26.182,25.545
966,25.636,25.818
967,25.091,24.545
968,25.636,27.545
969,25.364,27.091
970,26.909,24.273
971,23.727,27.818
972,25.818,26.818
973,25.364,23.818
974,27.182,25.455
975,27.091,24.545
976,26.545,24.818
977,25.455,25.364
978,26.636,26.909
979,25.909,25.909
980,24.364,26.091
981,24.818,26.636
982,25.091,27.091
983,24.636,24.818
984,26.455,27.091
985,26.091,25.182
986,26.273,25.273
987,25.091,26.545
988,25.636,25.727
989,24.909,26.273
990,24.091,24.636
991,27.091,24.545
992,26.273,25.091
993,25.0,26.273
994,26.818,26.545
995,25.727,
996,25.727,26.545
997,24.909,27.273
998,27.091,26.636
999,28.091,27.818
1000,24.364,25.455
1001,25.909,24.545
