id,home_team_api_id,away_team_api_id,buildUpPlaySpeed_home,buildUpPlayPassing_home,chanceCreationPassing_home,chanceCreationCrossing_home,chanceCreationShooting_home,defencePressure_home,defenceAggression_home,defenceTeamWidth_home,buildUpPlaySpeed_away,buildUpPlayPassing_away,chanceCreationPassing_away,chanceCreationCrossing_away,chanceCreationShooting_away,defencePressure_away,defenceAggression_away,defenceTeamWidth_away,AVG_HOME_AGE,AVG_AWAY_AGE,Home_Team_Aggression,Home_Team_Potential,Home_Team_Stamina,Home_Team_OverallRating,Home_Team_FreeKick,Away_Team_Aggression,Away_Team_Potential,Away_Team_Stamina,Away_Team_OverallRating,Away_Team_FreeKick,labels
5972,8689,9831,35,35,80,50,50,55,35,65,50,50,50,50,65,45,45,35,25.273,27,66,75,69,70,71,65,72,61,70,77,0
23521,8305,8370,29,40,58,42,52,49,45,47,45,44,44,44,47,63,51,59,27.273,25.364,59,76,63,73,79,67,76,68,73,85,2
18618,7841,6403,36,38,60,54,54,39,50,42,38,39,52,53,52,36,39,68,25.727,28,63,75,65,70,73,67,72,71,70,79,1
18402,10211,10264,48,46,50,50,57,47,55,53,30,30,55,50,60,40,60,50,26.364,26.545,63,71,69,67,75,68,76,71,73,79,2
6994,9847,9747,49,41,62,52,60,49,46,52,52,48,53,49,59,46,43,49,28,27.182,73,83,75,82,80,62,62,66,61,65,0
1088,1773,9987,52,50,50,53,54,43,44,50,53,55,55,48,56,47,45,55,26.727,25.909,65,67,69,64,67,64,72,71,70,79,1
16769,8245,1601,75,62,48,53,68,58,43,65,53,55,44,65,50,43,44,49,27.889,27.625,70,65,73,61,65,51,64,66,61,68,0
22726,8560,9864,54,43,54,51,60,49,49,51,58,54,54,55,61,45,47,54,24.545,26.636,65,76,70,73,74,69,79,67,77,85,0
7236,9837,8550,48,48,48,52,50,33,44,50,55,49,49,54,53,46,54,50,27.727,25.364,61,74,67,72,72,56,71,66,67,70,1
7508,10242,9941,49,51,52,49,46,43,42,52,49,53,52,34,36,36,45,49,25.727,22.364,59,72,67,68,77,65,77,73,71,77,2
831,9997,8203,53,53,48,52,53,46,46,46,67,57,47,47,52,48,61,48,27.091,26.091,61,66,67,64,72,62,68,71,65,79,1
1611,8203,9987,52,40,47,53,50,42,51,52,58,38,30,69,56,36,57,70,26.455,23.909,61,70,66,67,72,64,75,66,70,74,1
4021,8455,10172,67,38,41,61,68,39,41,46,52,53,53,54,54,50,44,54,26.636,26.727,63,84,75,83,81,68,77,70,74,67,0
25573,10179,10243,61,37,62,50,53,45,43,54,62,46,50,50,54,47,43,56,25.455,23.455,61,72,69,66,66,57,70,63,63,69,0
2863,8456,9825,70,60,55,70,70,45,55,45,66,30,30,45,35,30,40,50,24.091,25.091,75,86,77,80,82,70,86,74,81,83,2
17315,1601,2186,53,38,66,65,50,43,44,49,37,38,66,66,33,59,34,64,28.182,25.727,54,65,61,62,71,52,63,64,59,57,0
13050,8543,9875,68,55,68,80,72,59,66,65,53,37,68,54,67,47,57,53,28.455,27.818,67,79,72,78,79,63,80,72,79,78,2
12658,8543,10233,49,54,68,63,69,59,53,54,64,68,66,53,49,23,47,53,29.182,24.727,67,79,70,77,79,65,78,69,74,72,2
22344,9869,8581,70,55,65,50,70,70,70,55,30,30,45,40,70,30,35,50,25.818,28.455,68,78,72,73,82,68,76,66,71,82,1
11173,9880,8530,30,30,35,45,65,50,30,50,35,30,30,30,60,35,55,50,28.909,25.727,68,76,69,71,72,68,76,70,72,82,1
